gu,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세
종로구,"5,129","5,831","13,090","14,260","10,970","9,914","10,500","11,741","13,545","12,348","11,805","8,867"
중구,"3,314","3,736","9,028","12,282","11,272","10,520","9,522","9,280","10,964","10,516","10,403","8,042"
용산구,"7,628","8,317","14,192","21,086","21,296","20,186","18,524","18,501","20,421","17,828","17,204","12,545"
성동구,"9,082","10,268","20,392","26,290","23,977","24,422","22,473","21,930","24,663","22,625","22,218","15,699"
광진구,"12,215","13,309","28,187","38,645","30,446","26,458","25,541","26,551","29,269","26,705","26,019","18,604"
동대문구,"11,061","12,386","31,446","33,706","25,781","25,183","24,957","25,105","27,746","25,579","26,851","20,832"
중랑구,"12,209","13,679","22,971","32,969","29,708","28,419","28,156","28,503","34,666","33,995","34,969","25,656"
성북구,"17,461","19,414","34,997","36,090","29,398","31,063","32,627","36,156","38,166","31,655","32,304","24,602"
강북구,"9,846","11,301","19,384","23,240","18,976","19,209","21,066","23,899","27,099","25,048","26,654","20,719"
도봉구,"11,556","13,079","19,773","22,881","19,397","20,534","21,961","24,950","29,142","27,191","29,265","21,914"
노원구,"23,698","27,425","37,415","35,260","30,934","33,156","38,113","44,833","47,821","39,617","40,073","30,402"
은평구,"17,798","19,839","28,901","37,810","33,592","34,382","36,221","38,743","41,309","36,451","37,921","28,929"
서대문구,"10,881","12,473","25,219","29,290","23,249","22,735","22,704","23,983","26,345","23,061","23,010","17,082"
마포구,"13,830","14,438","27,567","38,310","33,727","32,189","30,423","30,889","30,540","25,232","23,832","17,495"
양천구,"24,709","25,014","27,960","30,622","26,856","29,980","36,744","40,920","41,658","35,280","34,448","25,854"
강서구,"21,321","22,493","33,647","53,604","51,388","48,065","46,157","44,464","44,181","41,405","45,324","34,192"
구로구,"14,968","15,142","23,263","32,633","32,991","32,781","32,847","33,095","35,745","35,009","33,974","26,078"
금천구,"6,890","7,676","14,176","23,951","20,878","17,819","16,499","17,989","21,617","22,713","21,097","14,803"
영등포구,"12,075","12,525","22,355","38,422","38,632","35,000","30,404","29,484","32,740","31,964","29,385","21,420"
동작구,"13,139","14,372","29,019","39,755","32,938","29,683","29,173","29,408","31,263","28,468","28,951","22,171"
관악구,"12,682","15,331","39,730","72,306","51,278","37,152","33,902","34,134","36,437","33,940","34,222","26,920"
서초구,"23,308","21,669","24,414","29,282","29,647","31,921","37,512","39,083","35,939","27,349","26,825","21,588"
강남구,"29,824","29,505","32,604","40,221","39,238","40,517","48,003","50,726","46,853","34,883","33,239","28,037"
송파구,"29,099","28,723","39,040","53,308","53,584","55,248","55,325","53,043","54,309","48,348","49,433","37,989"
강동구,"19,907","19,187","26,412","35,394","35,037","37,668","39,045","36,580","37,648","35,118","37,752","28,776"
