date,in_count,out_count,in_increase,out_increase,emo
2016-01-01,151,104,-71.54929577464787,-50.0,0
2016-02-01,202,100,-20.549295774647874,-54.0,0
2016-03-01,261,150,38.450704225352126,-4.0,1
2016-04-01,269,105,46.450704225352126,-49.0,1
2016-05-01,305,118,82.45070422535213,-36.0,1
2016-06-01,278,156,55.450704225352126,2.0,1
2016-07-01,219,147,-3.5492957746478737,-7.0,0
2016-08-01,216,135,-6.549295774647874,-19.0,0
2016-09-01,177,140,-45.549295774647874,-14.0,0
2016-10-01,205,144,-17.549295774647874,-10.0,0
2016-11-01,182,130,-40.549295774647874,-24.0,0
2016-12-01,152,166,-70.54929577464787,12.0,0
2017-01-01,202,133,-20.549295774647874,-21.0,0
2017-02-01,182,136,-40.549295774647874,-18.0,0
2017-03-01,262,162,39.450704225352126,8.0,1
2017-04-01,236,146,13.450704225352126,-8.0,1
2017-05-01,256,171,33.450704225352126,17.0,1
2017-06-01,260,166,37.450704225352126,12.0,1
2017-07-01,215,164,-7.549295774647874,10.0,0
2017-08-01,239,150,16.450704225352126,-4.0,1
2017-09-01,225,153,2.4507042253521263,-1.0,1
2017-10-01,151,121,-71.54929577464787,-33.0,0
2017-11-01,222,143,-0.5492957746478737,-11.0,0
2017-12-01,175,158,-47.549295774647874,4.0,0
2018-01-01,203,181,-19.549295774647874,27.0,0
2018-02-01,179,124,-43.549295774647874,-30.0,0
2018-03-01,252,163,29.450704225352126,9.0,1
2018-04-01,274,159,51.450704225352126,5.0,1
2018-05-01,269,196,46.450704225352126,42.0,1
2018-06-01,272,144,49.450704225352126,-10.0,1
2018-07-01,262,154,39.450704225352126,0.0,0
2018-08-01,232,139,9.450704225352126,-15.0,1
2018-09-01,183,109,-39.549295774647874,-45.0,0
2018-10-01,260,179,37.450704225352126,25.0,1
2018-11-01,209,188,-13.549295774647874,34.0,0
2018-12-01,176,204,-46.549295774647874,50.0,0
2019-01-01,212,155,-10.549295774647874,1.0,0
2019-02-01,167,130,-55.549295774647874,-24.0,0
2019-03-01,241,142,18.450704225352126,-12.0,1
2019-04-01,256,182,33.450704225352126,28.0,1
2019-05-01,303,166,80.45070422535213,12.0,1
2019-06-01,260,150,37.450704225352126,-4.0,1
2019-07-01,219,161,-3.5492957746478737,7.0,0
2019-08-01,225,135,2.4507042253521263,-19.0,1
2019-09-01,205,150,-17.549295774647874,-4.0,0
2019-10-01,244,170,21.450704225352126,16.0,1
2019-11-01,219,154,-3.5492957746478737,0.0,0
2019-12-01,196,209,-26.549295774647874,55.0,0
2020-01-01,222,132,-0.5492957746478737,-22.0,0
2020-02-01,202,133,-20.549295774647874,-21.0,0
2020-03-01,186,146,-36.549295774647874,-8.0,0
2020-04-01,210,156,-12.549295774647874,2.0,0
2020-05-01,210,114,-12.549295774647874,-40.0,0
2020-06-01,205,126,-17.549295774647874,-28.0,0
2020-07-01,261,130,38.450704225352126,-24.0,1
2020-08-01,216,157,-6.549295774647874,3.0,0
2020-09-01,205,147,-17.549295774647874,-7.0,0
2020-10-01,171,154,-51.549295774647874,0.0,0
2020-11-01,221,181,-1.5492957746478737,27.0,0
2020-12-01,175,297,-47.549295774647874,143.0,0
2021-01-01,168,152,-54.549295774647874,-2.0,0
2021-02-01,174,120,-48.549295774647874,-34.0,0
2021-03-01,245,194,22.450704225352126,40.0,1
2021-04-01,289,211,66.45070422535213,57.0,1
2021-05-01,293,220,70.45070422535213,66.0,1
2021-06-01,261,157,38.450704225352126,3.0,1
2021-07-01,240,179,17.450704225352126,25.0,1
2021-08-01,256,139,33.450704225352126,-15.0,1
2021-09-01,194,143,-28.549295774647874,-11.0,0
2021-10-01,225,167,2.4507042253521263,13.0,1
2021-11-01,212,137,-10.549295774647874,-17.0,0
